label_id,category,precision,recall,f1,support
0,ARTS,0.4279811097992916,0.8400926998841252,0.5670707860774344,863.0
1,ARTS & CULTURE,0.2945205479452055,0.7064973861090366,0.4157328059767084,1339.0
2,BLACK VOICES,0.46444620671424797,0.42063682068470193,0.4414572864321608,4177.0
3,BUSINESS,0.5512908384738405,0.4701870615744349,0.507519192344095,5132.0
4,COLLEGE,0.3862238622386224,0.6818675352877307,0.4931291715744013,921.0
5,COMEDY,0.29899328859060403,0.38388625592417064,0.3361629881154499,4642.0
6,CRIME,0.47017543859649125,0.7097457627118644,0.5656395103419164,2832.0
7,CULTURE & ARTS,0.5619389587073609,0.5888993414863594,0.5751033532384014,1063.0
8,DIVORCE,0.6247680890538033,0.7863397548161121,0.6963039545102093,3426.0
9,EDUCATION,0.41424968474148804,0.7283813747228381,0.5281350482315113,902.0
10,ENTERTAINMENT,0.7385241855873642,0.40510356030865036,0.5232100708103855,14774.0
11,ENVIRONMENT,0.4826315789473684,0.6359223300970874,0.5487731897067624,1442.0
12,FIFTY,0.2535760728218466,0.7485604606525912,0.3788246721709568,1042.0
13,FOOD & DRINK,0.6361408882082695,0.6561364713315432,0.6459839825830028,6331.0
14,GOOD NEWS,0.2659212445308702,0.5264677574590952,0.35335917312661497,1039.0
15,GREEN,0.421875,0.6862170087976539,0.5225158168961668,2046.0
16,HEALTHY LIVING,0.4164500118175372,0.3346628679962013,0.37110362257792756,5265.0
17,HOME & LIVING,0.6080074487895717,0.7563122538800092,0.6740993083513988,4317.0
18,IMPACT,0.4492622704004818,0.48347375243033053,0.4657405962228812,3086.0
19,LATINO VOICES,0.2677130044843049,0.5841487279843445,0.3671586715867159,1022.0
20,MEDIA,0.4335963182117028,0.5486688851913477,0.4843922144693353,2404.0
21,MONEY,0.42636103151862464,0.8478632478632478,0.567397521448999,1755.0
22,PARENTING,0.6605018106570099,0.5810011376564278,0.6182060283258686,8790.0
23,PARENTS,0.3567016676961087,0.3248031496062992,0.34000588754783634,3556.0
24,POLITICS,0.8970204738389835,0.49835085231651305,0.6407339885859227,32441.0
25,QUEER VOICES,0.696865037194474,0.4681420667499554,0.5600512437279812,5603.0
26,RELIGION,0.47342485040478705,0.7161874334398296,0.5700360245814792,1878.0
27,SCIENCE,0.5486348122866894,0.7132556849694953,0.6202073788280685,1803.0
28,SPORTS,0.581622678396872,0.6739918441323063,0.6244096967152901,4414.0
29,STYLE,0.20603324440796225,0.6407147415443523,0.31180124223602484,1567.0
30,STYLE & BEAUTY,0.8541875626880642,0.6950622321975107,0.7664529193385082,9802.0
31,TASTE,0.26426426426426425,0.31752577319587627,0.28845703582299226,1940.0
32,TECH,0.42451420029895365,0.6752258678078935,0.5212922173274597,2103.0
33,THE WORLDPOST,0.4527363184079602,0.7699235807860262,0.5701869631126831,3664.0
34,TRAVEL,0.8516840171463564,0.738138201889396,0.7908563630160355,9421.0
35,U.S. NEWS,0.33686659772492245,0.9462599854756718,0.4968541468064824,1377.0
36,WEDDINGS,0.7027222356058781,0.7985217629345743,0.747565351101999,3653.0
37,WEIRD NEWS,0.2393107849393746,0.48575129533678757,0.32064985036340315,2316.0
38,WELLNESS,0.7680122978211469,0.6404168756618179,0.6984348883148458,17943.0
39,WOMEN,0.33775185577942735,0.4001256281407035,0.3663024726854514,3184.0
40,WORLD NEWS,0.7164002368265245,0.3670003033060358,0.4853590052146009,3297.0
41,WORLDPOST,0.5108433734939759,0.8534621578099839,0.6391317455532107,1242.0
