label_id,category,precision,recall,f1,support
0,BUSINESS,0.6449283801094678,0.8041237113402062,0.7157813105854982,6887.0
1,CRIME,0.538975021533161,0.8838276836158192,0.6696094168004281,2832.0
2,EDUCATION,0.6200731409995937,0.8370817334064728,0.7124183006535948,1823.0
3,ENTERTAINMENT,0.7113332735586838,0.6995723292623782,0.7054037833151799,22681.0
4,ENVIRONMENT,0.5763059701492538,0.8856077981651376,0.6982368896925859,3488.0
5,FOOD & DRINK,0.7220348781192794,0.9060573086688429,0.8036461126005362,8271.0
6,IDENTITY/VOICES,0.641473604253703,0.5323373676248109,0.581831961142306,15864.0
7,LIFESTYLE,0.7661787365177196,0.7995658465991317,0.7825163270123534,12438.0
8,PARENTING,0.7181157792256422,0.7766888060910416,0.7462547180824156,12346.0
9,POLITICS,0.856370262961947,0.673592059430967,0.7540632872079782,32441.0
10,POSITIVE/HEALTH,0.840560549973559,0.6433269250227663,0.7288359030205767,29649.0
11,SPORTS,0.5649519157380553,0.8384685092886272,0.6750569995440037,4414.0
12,STYLE/BEAUTY,0.8240466655058332,0.8325270472337057,0.8282651498577992,11369.0
13,TECH,0.6094922100403923,0.6695721077654516,0.6381211297387102,6310.0
14,TRAVEL,0.8222662048490846,0.8819658210381064,0.8510703677148418,9421.0
15,WORLD NEWS/GLOBAL,0.6279332129963899,0.8715031315240084,0.7299353033747159,9580.0
